PLAYER_ID,PLAYER_NAME,DATE_CREATED,DATE_UPDATED
1,Greg,"2024-02-17 20:37:51","2024-02-17 20:37:51"
2,Bobby,"2024-02-17 20:38:15","2024-02-18 18:15:03"
