date_created,date_updated,PLAYER_ID,PLAYER_NAME,user_id
"2024-02-23 15:49:51.980020","2024-02-23 15:49:51.980020",1,Greg,1
"2024-02-23 15:50:20.442501","2024-02-23 15:50:20.442501",2,Bob,1
